,City,Cloudiness (%),Humidity (%),Latitude,Temperature (F),Wind Speed (mph)
0,Isangel,88,99,-19.55,81.58,16.24
1,Huandacareo,40,48,19.98,64.4,3.36
2,San Pedro,24,98,10.8,81.04,5.17
3,Patitirion,0,50,39.15,56.35,13.67
4,Zwettl Stift,76,87,48.62,37.21,10.54
5,Southbridge,1,42,42.08,33.26,3.36
6,Languyan,8,97,5.26,84.19,9.42
7,Banat,0,53,29.47,87.97,6.62
8,Crasna,0,67,45.17,42.7,11.54
9,Santa Vitoria,56,99,-18.83,70.06,6.96
10,Kajatian,0,82,6.03,86.26,9.53
11,Rantauprapat,88,79,2.1,81.67,2.93
12,Independent State of Samoa,40,74,-13.68,86.0,11.41
13,Arth,20,92,47.06,28.99,3.36
14,Huaihua,0,76,27.55,77.35,3.71
15,Mananum,24,86,8.83,82.03,5.39
16,Leninskiy,92,96,57.83,38.29,23.29
17,Sagauli,0,29,26.78,95.35,7.18
18,Edd,0,44,13.93,83.11,3.83
19,Lagos,75,93,37.1,57.2,2.24
20,Silkeborg,0,92,56.17,25.99,3.36
21,Warah,92,34,27.45,92.11,9.08
22,Huimanguillo,0,88,17.85,73.39,8.86
23,Santa Margherita Ligure,75,82,44.33,55.4,10.29
24,Sujiatun,75,49,41.66,69.8,11.18
25,Sao Bernardo do Campo,48,88,-23.7,68.97,8.05
26,Collingwood,1,85,44.5,19.4,7.07
27,San Vicente,76,90,12.98,80.05,1.03
28,Altos del Rosario,88,100,8.79,74.29,0.92
29,Toledo,92,100,-24.73,65.83,3.04
30,Brebu Manastirei,0,43,45.18,47.74,9.64
31,Khewra,56,54,32.65,83.11,8.19
32,Caserta,20,86,41.07,47.84,1.92
33,Brooklyn,90,80,41.44,32.88,13.87
34,Tileagd,20,75,47.07,39.96,14.99
35,Rudbar,0,30,30.15,70.96,6.4
36,Kalavad,0,41,22.22,91.57,5.61
37,Kingsport,75,81,36.55,54.68,6.17
38,Canora,20,77,51.63,3.2,5.82
39,Ijuin,20,43,31.62,71.6,6.93
40,Brake (Unterweser),40,100,53.33,30.96,2.24
41,Tveit,0,79,58.23,21.2,4.7
42,Lubawa,92,99,53.5,34.42,25.19
43,Pittsfield,1,53,42.45,29.64,3.36
44,Burpengary,20,65,-27.16,82.53,11.41
45,Bonga,76,90,13.22,80.05,1.03
46,Kotturu,0,42,14.82,91.3,5.39
47,Soroca,12,93,48.14,41.89,7.29
48,Baturaja,24,97,-4.13,84.01,6.85
49,Mirsini,20,81,37.92,50.47,5.82
50,Tatarskaya Kargala,0,64,51.95,35.6,6.71
51,Voluntari,20,70,44.47,45.48,8.05
52,Buguda,0,61,19.82,85.72,4.16
53,Grunji,76,70,45.5,36.67,8.41
54,Sogod,76,100,13.83,77.62,5.17
55,Dharampur,0,32,20.53,96.34,4.72
56,Catmon,40,66,10.72,87.8,8.05
57,Gandara,48,100,12.01,78.79,3.94
58,Khebda,0,58,42.44,43.06,1.92
59,Belomorsk,44,83,64.52,21.64,6.96
60,Rades,20,87,36.77,42.55,8.86
61,Wiefelstede,40,100,53.25,30.99,2.24
62,Harper Woods,1,95,42.43,30.6,6.93
63,Elwood,1,48,40.85,38.75,5.82
64,Waggaman,40,100,29.92,61.56,5.82
65,Cayhagan,8,100,9.68,80.95,7.18
66,Verkhnyaya Toyma,24,88,62.23,26.14,5.17
67,Show Low,1,21,34.25,53.13,9.17
68,Dahegam,20,38,23.17,89.6,3.36
69,Namchi,75,40,27.28,89.6,6.93
70,Ouadda,0,69,8.07,72.94,5.84
71,Swan Hill,0,51,-35.34,72.13,12.77
72,Orativ,8,87,49.19,39.73,16.35
73,Kinarut,75,66,5.82,91.4,4.7
74,Huixquilucan,40,58,19.36,60.13,1.92
75,Watsonville,1,81,36.91,56.44,5.82
76,Bonavista,88,87,48.63,35.68,22.95
77,Osorio,92,99,-29.9,68.98,9.98
78,Ivesti,0,87,46.18,44.6,3.36
79,Ludus,75,80,46.48,39.81,5.82
80,Fershampenuaz,0,96,53.53,35.32,8.41
81,Awallan,92,78,17.92,76.81,5.73
82,Asahi,20,64,34.07,67.35,11.41
83,Mainit,20,74,9.43,86.0,11.41
84,Masuda,20,64,34.67,68.97,11.41
85,Mongomo,92,97,1.63,70.69,2.71
86,Paraul,90,93,42.74,44.6,22.37
87,Purac,75,44,15.25,93.2,13.87
88,Majayjay,40,52,14.15,89.6,9.17
89,Tuxtla Chico,90,94,14.95,73.4,5.82
90,Huaquillas,88,98,-3.48,72.49,2.71
91,Juazeirinho,92,99,-6.82,69.88,2.93
92,Loyola,0,100,8.34,82.39,15.68
93,Shkurinskaya,44,80,46.59,49.54,15.23
94,Mindupok,8,95,6.09,82.66,11.43
95,Cabangahan,36,78,8.02,80.5,2.37
